,作战名称,活动名称,作战开放时间,作战理智消耗,样本数,源岩掉落数,源岩单件期望理智,代糖掉落数,代糖单件期望理智,酯原料掉落数,酯原料单件期望理智,异铁碎片掉落数,异铁碎片单件期望理智,双酮掉落数,双酮单件期望理智,破损装置掉落数,破损装置单件期望理智
36,NL-2,长夜临光・复刻,2022-09-22 16:00:00+08:00,9,9042,5596,14.542172980700501,3813,21.342250196695517,3689,22.059636757928978,3025,26.901818181818182,2889,28.16822429906542,2220,36.65675675675676
37,NL-3,长夜临光・复刻,2022-09-22 16:00:00+08:00,9,5932,3656,14.602844638949671,2433,21.94327990135635,2451,21.782129742962056,1944,27.462962962962962,1995,26.7609022556391,1503,35.52095808383233
38,IS-1,叙拉古人,2022-11-01 16:00:00+08:00,9,26487,16496,14.450957807953444,11012,21.64756629131856,10945,21.78008222932846,8645,27.574667437825333,8740,27.274942791762015,6460,36.90139318885449
39,IS-2,叙拉古人,2022-11-01 16:00:00+08:00,9,11998,7495,14.407204803202134,4888,22.091243862520457,4913,21.978831671076737,3911,27.609818460751725,3979,27.137974365418447,2926,36.90430622009569
40,IS-3,叙拉古人,2022-11-01 16:00:00+08:00,9,10953,6878,14.332218668217505,4589,21.481150577467858,4493,21.94012908969508,3655,26.970451436388508,3607,27.329359578597174,2599,37.92881877645248
41,BI-1,风雪过境・复刻,2022-12-01 16:00:00+08:00,9,354,210,15.17142857142857,163,19.54601226993865,152,20.960526315789473,140,22.757142857142856,116,27.46551724137931,91,35.010989010989015
42,BI-2,风雪过境・复刻,2022-12-01 16:00:00+08:00,9,207,119,15.655462184873949,72,25.875,76,24.513157894736842,62,30.048387096774192,86,21.662790697674417,51,36.529411764705884
43,BI-3,风雪过境・复刻,2022-12-01 16:00:00+08:00,9,317,204,13.985294117647058,123,23.195121951219512,111,25.7027027027027,107,26.66355140186916,94,30.351063829787233,64,44.578125
44,FC-1,照我以火,2022-12-15 16:00:00+08:00,9,24604,15158,14.60852355191978,10119,21.883190038541358,10087,21.95261227322296,8114,27.290608824254374,8179,27.073725394302482,6061,36.534565253258535
45,FC-2,照我以火,2022-12-15 16:00:00+08:00,9,34325,21437,14.41083173951579,14145,21.839872746553553,14064,21.96565699658703,11409,27.0773073889035,11326,27.275737241744658,8462,36.50732687307965
46,IW-1,将进酒・复刻,2023-01-01 16:00:00+08:00,9,6232,3874,14.47805885389778,2539,22.090586845214652,2584,21.705882352941178,2063,27.187590887057684,2042,27.46718903036239,1551,36.16247582205029
47,IW-2,将进酒・复刻,2023-01-01 16:00:00+08:00,9,3210,1961,14.73227944926058,1310,22.053435114503817,1331,21.70548459804658,1031,28.02133850630456,1047,27.593123209169054,789,36.61596958174905
48,IW-3,将进酒・复刻,2023-01-01 16:00:00+08:00,9,3890,2375,14.741052631578947,1602,21.853932584269664,1595,21.94984326018809,1273,27.501963864886097,1288,27.18167701863354,1006,34.80119284294235
49,WB-1,登临意,2023-01-17 16:00:00+08:00,9,34419,21323,14.527552408197721,14116,21.944672711816377,14150,21.891943462897526,11251,27.532752644209403,11250,27.5352,8520,36.35809859154929
50,WB-2,登临意,2023-01-17 16:00:00+08:00,9,21223,13217,14.451615343875313,8748,21.834362139917694,8708,21.93465778594396,6950,27.483021582733812,6929,27.566315485640065,5249,36.38921699371309
51,WB-3,登临意,2023-01-17 16:00:00+08:00,9,30224,18756,14.502879078694818,12384,21.96511627906977,12357,22.013109978150037,9946,27.349286145183992,9975,27.269774436090227,7379,36.86353164385418
52,DC-1,春分,2023-02-14 16:00:00+08:00,9,1096,690,14.295652173913043,442,22.316742081447963,463,21.304535637149026,389,25.3573264781491,369,26.73170731707317,250,39.456
53,DC-2,春分,2023-02-14 16:00:00+08:00,9,584,363,14.479338842975206,233,22.55793991416309,237,22.17721518987342,197,26.68020304568528,207,25.391304347826086,136,38.64705882352941
54,DC-3,春分,2023-02-14 16:00:00+08:00,12,1061,885,14.386440677966101,559,22.77638640429338,605,21.044628099173554,462,27.558441558441558,480,26.525,376,33.861702127659576
55,DC-4,春分,2023-02-14 16:00:00+08:00,12,1385,1148,14.477351916376307,777,21.38996138996139,793,20.958385876418664,589,28.217317487266552,610,27.24590163934426,438,37.945205479452056
56,GA-1,吾导先路・复刻,2023-02-21 16:00:00+08:00,9,17285,10804,14.398833765272121,7279,21.371754361862894,7176,21.67851170568562,5715,27.22047244094488,5672,27.426833568406206,4224,36.82883522727273
57,GA-2,吾导先路・复刻,2023-02-21 16:00:00+08:00,9,9152,5689,14.47846721743716,3749,21.970658842357963,3724,22.118152524167563,3011,27.35569578213218,3080,26.742857142857144,2111,39.01847465656087
58,GA-3,吾导先路・复刻,2023-02-21 16:00:00+08:00,9,6359,3984,14.365210843373495,2675,21.394766355140188,2665,21.475046904315196,2054,27.86319376825706,2132,26.843808630393998,1544,37.06670984455958
59,SN-1,愚人号・复刻,2023-04-20 16:00:00+08:00,9,22354,13912,14.461328349626221,8062,24.95484991317291,5753,34.97062402224926,11901,16.90496596924628,7375,27.279457627118646,5495,36.61255686988171
60,SN-2,愚人号・复刻,2023-04-20 16:00:00+08:00,9,16244,10073,14.51365035242728,5862,24.939611054247695,4364,33.500458295142074,8707,16.79062823015964,5319,27.485617597292723,4058,36.0266140956136
61,SN-3,愚人号・复刻,2023-04-20 16:00:00+08:00,9,30164,18892,14.369892017785306,11318,23.98621664605054,8500,31.938352941176472,14801,18.341733666644146,10334,26.270176117669827,7568,35.8715644820296
62,CW-1,孤星,2023-05-01 16:00:00+08:00,9,81733,50788,14.483677246593684,33808,21.75807501183152,33824,21.747782639545886,26929,27.3161647294738,26663,27.58868094362975,20082,36.62966835972513
63,CW-2,孤星,2023-05-01 16:00:00+08:00,9,77703,48414,14.444726731937044,32103,21.783851976450798,31970,21.87447607131686,25499,27.425663751519668,25576,27.343095089146075,19033,36.74286765092208
64,CW-3,孤星,2023-05-01 16:00:00+08:00,9,55753,34960,14.352889016018306,23027,21.790810787336603,23004,21.81259780907668,18310,27.404533042053522,18188,27.588354959313833,13836,36.266045099739806
65,HE-1,空想花庭,2023-06-08 16:00:00+08:00,9,74389,46299,14.460377113976543,30784,21.748343295218294,30779,21.75187627928133,24684,27.122873116188625,24797,26.999274105738596,18257,36.67092074272882
