,作战名称,活动名称,作战开放时间,作战理智消耗,作战掉落物品名称,掉落数,样本数,作战掉落物品数量,单位理智掉落物品数量,单件期望理智
86,BI-8,风雪过境・复刻,2022-12-01 16:00:00+08:00,18,研磨石,176917,306620,0.5769910638575435,0.032055059103196865,31.196323699814037
87,FC-5,照我以火,2022-12-15 16:00:00+08:00,21,糖组,517862,533053,0.9715018956839189,0.04626199503256757,21.6160154635791
88,FC-6,照我以火,2022-12-15 16:00:00+08:00,21,异铁组,3263055,4193787,0.7780688432674334,0.03705089729844921,26.989899649255072
89,FC-7,照我以火,2022-12-15 16:00:00+08:00,21,半自然溶剂,298824,427024,0.6997826820038218,0.03332298485732484,30.009316520761388
90,IW-6,将进酒・复刻,2023-01-01 16:00:00+08:00,18,全新装置,1203636,2404446,0.5005876613573356,0.027810425630963087,35.9577380536973
91,IW-7,将进酒・复刻,2023-01-01 16:00:00+08:00,21,固源岩组,750116,685428,1.0943760686753385,0.05211314612739707,19.189016098843382
92,IW-8,将进酒・复刻,2023-01-01 16:00:00+08:00,21,RMA70-12,763250,1309669,0.5827808400443165,0.02775146857353888,36.03412905339011
93,WB-7,登临意,2023-01-17 16:00:00+08:00,21,酮凝集组,1773946,2281344,0.7775881234921169,0.037028005880576996,27.006585318831576
94,WB-8,登临意,2023-01-17 16:00:00+08:00,21,轻锰矿,3477457,4469136,0.7781049849456361,0.03705261833074457,26.988646013451785
95,WB-9,登临意,2023-01-17 16:00:00+08:00,21,晶体元件,306185,350200,0.8743146773272416,0.04163403225367817,24.018812156049446
96,GA-6,吾导先路・复刻,2023-02-21 16:00:00+08:00,18,糖组,648278,778372,0.8328639776353723,0.046270220979742906,21.612172555601145
97,GA-7,吾导先路・复刻,2023-02-21 16:00:00+08:00,21,扭转醇,2263352,2459805,0.9201347261266645,0.04381593933936497,22.822744760867955
98,GA-8,吾导先路・复刻,2023-02-21 16:00:00+08:00,21,凝胶,1609884,2292099,0.7023623325170509,0.0334458253579548,29.89909769896465
99,SN-8,愚人号・复刻,2023-04-20 16:00:00+08:00,21,异铁组,2560483,3291292,0.7779568023742652,0.03704556201782215,26.99378671914635
100,SN-9,愚人号・复刻,2023-04-20 16:00:00+08:00,21,轻锰矿,2122944,2728969,0.7779289541215015,0.037044235910547695,26.994753041059962
101,SN-10,愚人号・复刻,2023-04-20 16:00:00+08:00,21,化合切削液,477884,682207,0.7004970632080879,0.033357003009908945,29.978712407195054
102,CW-8,孤星,2023-05-01 16:00:00+08:00,21,酮凝集组,4640251,5961652,0.7783498600723424,0.03706427905106392,26.980155168330334
103,CW-9,孤星,2023-05-01 16:00:00+08:00,21,半自然溶剂,603188,861878,0.6998531114612508,0.03332633864101194,30.006296544360968
104,CW-10,孤星,2023-05-01 16:00:00+08:00,21,炽合金,7135136,8567650,0.8327996591830898,0.03965712662776618,25.21614864804259
105,HE-6,空想花庭,2023-06-08 16:00:00+08:00,21,固源岩组,4888777,4468116,1.0941472871339957,0.05210225176828551,19.19302844044635
106,HE-7,空想花庭,2023-06-08 16:00:00+08:00,21,凝胶,2380543,3390658,0.702088798103495,0.03343279990969024,29.910746413738377
107,HE-8,空想花庭,2023-06-08 16:00:00+08:00,21,RMA70-12,2228123,3825067,0.58250561362716,0.027738362553674286,36.05115471632401
108,LE-5,尘影余音・复刻,2023-06-20 16:00:00+08:00,18,糖组,859425,1032060,0.8327277483867217,0.046262652688151204,21.615708176978796
109,LE-6,尘影余音・复刻,2023-06-20 16:00:00+08:00,21,研磨石,3791790,5603884,0.6766360617029189,0.03222076484299614,31.035886481055122
110,LE-7,尘影余音・复刻,2023-06-20 16:00:00+08:00,21,半自然溶剂,280541,401552,0.6986417699326612,0.033268655711079106,30.058323025867878
111,DV-6,绿野幻梦・复刻,2023-07-18 16:00:00+08:00,21,聚酸酯组,1691424,1740127,0.9720118129308952,0.04628627680623311,21.60467570520461
112,DV-7,绿野幻梦・复刻,2023-07-18 16:00:00+08:00,21,扭转醇,3246658,3526208,0.9207222035682524,0.043843914455631065,22.808182444840202
113,DV-8,绿野幻梦・复刻,2023-07-18 16:00:00+08:00,21,炽合金,789927,948557,0.8327670345588088,0.03965557307422899,25.217136520210094
114,SL-6,火山旅梦,2023-08-01 16:00:00+08:00,21,酮凝集组,5725563,7355679,0.7783867403675446,0.03706603525559736,26.978876837090084
115,SL-7,火山旅梦,2023-08-01 16:00:00+08:00,21,晶体元件,5354272,6120566,0.8748001410327084,0.041657149572986114,24.005483098355857
116,SL-8,火山旅梦,2023-08-01 16:00:00+08:00,21,轻锰矿,7971823,10241794,0.7783619744743938,0.037064855927352085,26.97973525001747
117,IC-7,理想城：长夏狂欢季・复刻,2023-08-31 16:00:00+08:00,21,酮凝集组,246819,317058,0.7784664004693148,0.037069828593776895,26.97611610127259
118,IC-8,理想城：长夏狂欢季・复刻,2023-08-31 16:00:00+08:00,21,凝胶,1623858,2312296,0.702270816539059,0.033441467454240904,29.9029939810008
119,IC-9,理想城：长夏狂欢季・复刻,2023-08-31 16:00:00+08:00,21,RMA70-12,1903985,3266116,0.582950819872901,0.027759562851090522,36.023622034837466
120,CV-6,不义之财,2023-09-05 16:00:00+08:00,21,糖组,2076512,2137030,0.9716812585691357,0.04627053612233979,21.61202535790788
121,CV-7,不义之财,2023-09-05 16:00:00+08:00,21,研磨石,3128673,4623640,0.6766688150461541,0.03222232452600734,31.034384226155947
122,CV-8,不义之财,2023-09-05 16:00:00+08:00,21,转质盐组,837905,1341614,0.6245499823347103,0.029740475349271916,33.6242103818452
123,IS-8,叙拉古人・复刻,2023-10-22 16:00:00+08:00,21,固源岩组,5411533,4948023,1.093675797384127,0.05207979987543462,19.201302662295507
124,IS-9,叙拉古人・复刻,2023-10-22 16:00:00+08:00,21,化合切削液,461316,658598,0.7004515652947625,0.03335483644260774,29.980659677964777
125,IS-10,叙拉古人・复刻,2023-10-22 16:00:00+08:00,21,炽合金,1571150,1887297,0.8324868846821671,0.03964223260391272,25.225622633103143
126,ZT-7,崔林特尔梅之金,2023-11-01 16:00:00+08:00,21,异铁组,3317902,4291334,0.7731633100569659,0.03681730047890314,27.161144000033758
127,ZT-8,崔林特尔梅之金,2023-11-01 16:00:00+08:00,21,全新装置,8061457,13920515,0.5791062327794625,0.0275764872752125,36.26277669160798
128,ZT-9,崔林特尔梅之金,2023-11-01 16:00:00+08:00,21,扭转醇,3056063,3346215,0.9132894927552474,0.04348997584548797,22.993804447094185
129,RS-6,银心湖列车,2023-12-05 16:00:00+08:00,21,聚酸酯组,4078808,4196827,0.9718789933442574,0.04627995206401226,21.60762825805971
130,RS-7,银心湖列车,2023-12-05 16:00:00+08:00,21,轻锰矿,4242907,5452314,0.7781846386690128,0.03705641136519108,26.985883499214104
131,RS-8,银心湖列车,2023-12-05 16:00:00+08:00,21,晶体元件,1250044,1427324,0.8757955446696055,0.041704549746171694,23.978199167389306
132,FC-5,照我以火・复刻,2023-12-22 16:00:00+08:00,21,糖组,1577424,1622856,0.9720049098626126,0.046285948088695836,21.604829139153455
133,FC-6,照我以火・复刻,2023-12-22 16:00:00+08:00,21,异铁组,3563282,4577287,0.7784703034788948,0.03707001445137594,26.97598085136119
134,FC-7,照我以火・复刻,2023-12-22 16:00:00+08:00,21,半自然溶剂,388301,555158,0.6994423209248538,0.0333067771868978,30.023919588154552
135,WB-7,登临意・复刻,2024-01-18 16:00:00+08:00,21,酮凝集组,3067556,3939881,0.7785910285107596,0.03707576326241712,26.97179806986409
136,WB-8,登临意・复刻,2024-01-18 16:00:00+08:00,21,轻锰矿,1550794,1992479,0.778323886976977,0.037063042236998904,26.98105551091892
137,WB-9,登临意・复刻,2024-01-18 16:00:00+08:00,21,晶体元件,1119571,1280716,0.8741758516329928,0.041627421506332994,24.0226265239096
138,HS-7,怀黍离,2024-02-01 16:00:00+08:00,21,固源岩组,5385338,4923757,1.0937456905367182,0.05208312812079611,19.20007564984779
139,HS-8,怀黍离,2024-02-01 16:00:00+08:00,21,扭转醇,4001041,4344298,0.9209867739275712,0.043856513044170056,22.801630375694728
140,HS-9,怀黍离,2024-02-01 16:00:00+08:00,21,RMA70-12,6892613,11828009,0.5827365366394294,0.027749358887591873,36.03686860121118
141,CR-6,水晶箭行动,2024-03-07 16:00:00+08:00,21,聚酸酯组,690623,710872,0.9715152657581112,0.0462626317027672,21.615717982169723
142,CR-7,水晶箭行动,2024-03-07 16:00:00+08:00,21,炽合金,5319992,6387537,0.8328706354264562,0.03966050644887887,25.21399975789437
143,CR-8,水晶箭行动,2024-03-07 16:00:00+08:00,21,全新装置,4646907,7975553,0.5826438618112123,0.02774494580053392,36.04260059433081
144,OD-7,源石尘行动・复刻,2024-03-21 16:00:00+08:00,18,轻锰矿,492773,734288,0.6710895452465517,0.037282752513697316,26.82205396805426
145,OD-8,源石尘行动・复刻,2024-03-21 16:00:00+08:00,18,研磨石,4392122,7608231,0.5772855740053108,0.03207142077807282,31.180408467706503
146,BB-6,巴别塔,2024-04-11 16:00:00+08:00,21,固源岩组,2499103,2283903,1.0942246671596823,0.05210593653141344,19.191671171616377
147,BB-7,巴别塔,2024-04-11 16:00:00+08:00,21,异铁组,5634620,7239761,0.7782881230471559,0.03706133919272171,26.98229534556012
148,BB-8,巴别塔,2024-04-11 16:00:00+08:00,21,凝胶,6160014,8773087,0.7021489699121871,0.03343566523391367,29.908183163220087
149,CW-8,孤星・复刻,2024-05-24 16:00:00+08:00,21,酮凝集组,1034311,1329212,0.7781384760294069,0.03705421314425747,26.987484421996868
150,CW-9,孤星・复刻,2024-05-24 16:00:00+08:00,21,半自然溶剂,644316,918821,0.7012421353016529,0.033392482633412046,29.94685992587488
151,CW-10,孤星・复刻,2024-05-24 16:00:00+08:00,21,炽合金,7159426,8598243,0.8326615100317588,0.03965054809675042,25.22033232831794
152,BP-5,生路,2024-06-05 16:00:00+08:00,21,晶体元件,2680908,3063233,0.8751890567906522,0.04167566937098344,23.994815562488533
153,BP-6,生路,2024-06-05 16:00:00+08:00,21,糖组,5771626,5939091,0.9718029240501619,0.04627632971667438,21.6093196267395
154,BP-7,生路,2024-06-05 16:00:00+08:00,21,扭转醇,8954720,9723583,0.9209280159381578,0.04385371504467418,22.803085188593275
155,HE-6,空想花庭・复刻,2024-06-25 16:00:00+08:00,21,固源岩组,1740949,1591847,1.093666036999787,0.052079335095227955,19.20147402365032
