作战名称,活动名称,作战开放时间,作战理智消耗,作战掉落物品名称,掉落数,样本数,作战掉落物品数量,单位理智掉落物品数量
IW-8,将进酒?复刻,2023-01-01 16:00:00+08:00,21,RMA70-12,763250,1309669,0.5827808400443165,0.02775146857353888
WB-7,登临意,2023-01-17 16:00:00+08:00,21,酮凝集组,1773946,2281344,0.7775881234921169,0.037028005880576996
WB-8,登临意,2023-01-17 16:00:00+08:00,21,轻锰矿,3477457,4469136,0.7781049849456361,0.03705261833074457
WB-9,登临意,2023-01-17 16:00:00+08:00,21,晶体元件,306185,350200,0.8743146773272416,0.04163403225367817
GA-6,吾导先路?复刻,2023-02-21 16:00:00+08:00,18,糖组,648278,778372,0.8328639776353723,0.046270220979742906
GA-7,吾导先路?复刻,2023-02-21 16:00:00+08:00,21,扭转醇,2263352,2459805,0.9201347261266645,0.04381593933936497
GA-8,吾导先路?复刻,2023-02-21 16:00:00+08:00,21,凝胶,1609884,2292099,0.7023623325170509,0.0334458253579548
SN-8,愚人号?复刻,2023-04-20 16:00:00+08:00,21,异铁组,2560483,3291292,0.7779568023742652,0.03704556201782215
SN-9,愚人号?复刻,2023-04-20 16:00:00+08:00,21,轻锰矿,2122944,2728969,0.7779289541215015,0.037044235910547695
SN-10,愚人号?复刻,2023-04-20 16:00:00+08:00,21,化合切削液,477884,682207,0.7004970632080879,0.033357003009908945
CW-8,孤星,2023-05-01 16:00:00+08:00,21,酮凝集组,4640251,5961652,0.7783498600723424,0.03706427905106392
CW-9,孤星,2023-05-01 16:00:00+08:00,21,半自然溶剂,603188,861878,0.6998531114612508,0.03332633864101194
CW-10,孤星,2023-05-01 16:00:00+08:00,21,炽合金,7135136,8567650,0.8327996591830898,0.03965712662776618
HE-6,空想花庭,2023-06-08 16:00:00+08:00,21,固源岩组,4888777,4468116,1.0941472871339957,0.05210225176828551
HE-7,空想花庭,2023-06-08 16:00:00+08:00,21,凝胶,2380543,3390658,0.702088798103495,0.03343279990969024
HE-8,空想花庭,2023-06-08 16:00:00+08:00,21,RMA70-12,2228123,3825067,0.58250561362716,0.027738362553674286
