,作战名称,活动名称,作战开放时间,作战理智消耗,样本数,主掉落物品名称,主掉落数,单次作战主掉落数量,单位理智主掉落数量,主掉落单件期望理智,副掉落物品名称,副掉落数,单次作战副掉落数量,单位理智副掉落数量,副掉落单件期望理智
131,BB-4,巴别塔,2024-04-11 16:00:00+08:00,12,1897944,糖,2108565,1.1109732426246506,0.09258110355205422,10.801340247988561,固源岩,1581000,0.8330066640533125,0.06941722200444271,14.405647058823527
132,BB-5,巴别塔,2024-04-11 16:00:00+08:00,12,89343,聚酸酯,99206,1.1103947707151092,0.09253289755959243,10.806967320524969,装置,29740,0.3328744277671446,0.02773953564726205,36.049630127774044
133,CW-4,孤星・复刻,2024-05-24 16:00:00+08:00,12,42767,聚酸酯,47465,1.1098510533822807,0.09248758778185673,10.812261666491098,装置,14345,0.3354221713003016,0.027951847608358466,35.77581038689439
134,CW-5,孤星・复刻,2024-05-24 16:00:00+08:00,12,25635,异铁,22729,0.8866393602496586,0.07388661335413822,13.534251396893836,酮凝集,11394,0.44447045055588064,0.037039204212990055,26.998420221169035
135,CW-6,孤星・复刻,2024-05-24 16:00:00+08:00,15,1243434,糖,1726658,1.3886205460040502,0.09257470306693667,10.802087037502504,固源岩,1295166,1.0416041382172274,0.0694402758811485,14.400864445175367
136,CW-7,孤星・复刻,2024-05-24 16:00:00+08:00,15,75678,异铁,84064,1.1108115965009646,0.07405410643339765,13.503640083745717,装置,32211,0.4256322841512725,0.028375485610084836,35.241687622240846
137,BP-3,生路,2024-06-05 16:00:00+08:00,12,38309,异铁,34091,0.8898953248583884,0.07415794373819903,13.484732040714558,酮凝集,17105,0.44650082226108745,0.03720840185509062,26.87565039462146
138,BP-4,生路,2024-06-05 16:00:00+08:00,12,5300917,固源岩,8837033,1.6670762813301925,0.1389230234441827,7.198230899443287,聚酸酯,2948288,0.5561845243002296,0.04634871035835247,21.575573349686326
139,HE-4,空想花庭・复刻,2024-06-25 16:00:00+08:00,12,29785,聚酸酯,33026,1.108813160987074,0.09240109674892283,10.822382365409073,酮凝集,13284,0.4459963068658721,0.03716635890548934,26.906052393857273
140,HE-5,空想花庭・复刻,2024-06-25 16:00:00+08:00,12,614939,糖,683193,1.1109931228951164,0.0925827602412597,10.801146967255226,装置,202334,0.32903100957981196,0.027419250798317665,36.47072662034063
141,AS-4,太阳甩在身后,2024-08-01 16:00:00+08:00,12,79921,聚酸酯,88747,1.1104340536279576,0.09253617113566313,10.806585011324326,装置,26549,0.33219053815642946,0.02768254484636912,36.123846472560174
142,AS-5,太阳甩在身后,2024-08-01 16:00:00+08:00,12,47520,异铁,42129,0.8865530303030303,0.07387941919191919,13.535569322794275,酮凝集,21040,0.44276094276094274,0.03689674523007856,27.102661596958175
143,AS-6,太阳甩在身后,2024-08-01 16:00:00+08:00,12,3121945,糖,3467063,1.11054582960302,0.09254548580025167,10.805497333045288,固源岩,2599365,0.832610760279249,0.06938423002327075,14.412496898280926
144,SL-4,火山旅梦・复刻,2024-08-22 16:00:00+08:00,12,2217,聚酸酯,2473,1.1154713576905728,0.0929559464742144,10.757784067933684,糖,1200,0.5412719891745602,0.04510599909788002,22.17
145,SL-5,火山旅梦・复刻,2024-08-22 16:00:00+08:00,12,4041,酮凝集,3624,0.896807720861173,0.07473397673843109,13.380794701986753,异铁,1767,0.437268002969562,0.0364390002474635,27.443123938879456
146,DT-3,泰拉饭,2024-09-02 16:00:00+08:00,12,1770042,聚酸酯,1966347,1.1109041480371653,0.09257534566976378,10.802012055857892,固源岩,1474597,0.8330858815779513,0.06942382346482927,14.404277236424596
147,DT-4,泰拉饭,2024-09-02 16:00:00+08:00,12,27057,异铁,24076,0.889825183871087,0.07415209865592391,13.485794982555243,糖,15064,0.5567505636249399,0.04639588030207833,21.553637812002126
148,DT-5,泰拉饭,2024-09-02 16:00:00+08:00,12,54237,酮凝集,48328,0.8910522337149916,0.07425435280958263,13.467223969541466,装置,17943,0.3308258200121688,0.027568818334347402,36.272864069553584
149,CV-4,不义之财・复刻,2024-09-19 16:00:00+08:00,12,418713,固源岩,697732,1.6663729093675144,0.13886440911395953,7.201269255244133,聚酸酯,232599,0.5555093823215425,0.046292448526795205,21.601795364554448
150,CV-5,不义之财・复刻,2024-09-19 16:00:00+08:00,12,11576,异铁,10327,0.8921043538355218,0.07434202948629348,13.45134114457248,装置,3444,0.29751209398756046,0.02479267449896337,40.33449477351917
151,GO-4,追迹日落以西,2024-10-09 16:00:00+08:00,12,57610,固源岩,95914,1.6648845686512759,0.13874038072093967,7.20770690410159,聚酸酯,32105,0.5572817219232772,0.04644014349360643,21.53309453356175
152,GO-5,追迹日落以西,2024-10-09 16:00:00+08:00,12,3033,异铁,2719,0.8964721397955819,0.07470601164963182,13.385803604266275,装置,975,0.32146389713155293,0.026788658094296078,37.32923076923077
153,GO-6,追迹日落以西,2024-10-09 16:00:00+08:00,12,272,酮凝集,241,0.8860294117647058,0.07383578431372549,13.54356846473029,糖,156,0.5735294117647058,0.04779411764705882,20.923076923076923
