,作战名称,活动名称,作战开放时间,作战理智消耗,样本数,主掉落物品名称,主掉落数,单次作战主掉落数量,单位理智主掉落数量,主掉落单件期望理智,副掉落物品名称,副掉落数,单次作战副掉落数量,单位理智副掉落数量,副掉落单件期望理智,理论副掉落数
122,CR-4,水晶箭行动,2024-03-07 16:00:00+08:00,12,23572,聚酸酯,26271,0.5577379942304429,0.046478166185870244,21.51547881646003,糖,13147,0.5577379942304429,0.046478166185870244,21.51547881646003,13112.94879699651
95,LE-4,尘影余音・复刻,2023-06-20 16:00:00+08:00,12,21770,异铁,19369,0.5578778135048231,0.046489817792068594,21.510086455331415,糖,12145,0.5578778135048231,0.046489817792068594,21.510086455331415,12110.508031164687
78,IW-5,将进酒・复刻,2023-01-01 16:00:00+08:00,12,6872,聚酸酯,7648,0.5644644935972061,0.047038707799767175,21.259087393658156,糖,3879,0.5644644935972061,0.047038707799767175,21.259087393658156,3822.8484699202454
16,WR-7,画中人,2021-02-05 16:00:00+08:00,12,194,异铁,174,0.5721649484536082,0.04768041237113402,20.972972972972975,糖,111,0.5721649484536082,0.04768041237113402,20.972972972972975,107.9209259552572
150,GO-6,追迹日落以西,2024-10-09 16:00:00+08:00,12,272,酮凝集,241,0.5735294117647058,0.04779411764705882,20.923076923076923,糖,156,0.5735294117647058,0.04779411764705882,20.923076923076923,151.31181371046372
74,BI-5,风雪过境・复刻,2022-12-01 16:00:00+08:00,12,388,聚酸酯,441,0.5902061855670103,0.04918384879725086,20.33187772925764,糖,229,0.5902061855670103,0.04918384879725086,20.33187772925764,215.8418519105144
26,SV-5,覆潮之下,2021-05-01 16:00:00+08:00,12,343,聚酸酯,387,0.5918367346938775,0.04931972789115646,20.275862068965516,糖,203,0.5918367346938775,0.04931972789115646,20.275862068965516,190.80864743635684
0,GT-3,骑兵与猎人,2019-05-30 10:00:00+08:00,12,1135,异铁,1067,0.6017621145374449,0.05014684287812041,19.941434846266475,糖,683,0.6017621145374449,0.05014684287812041,19.941434846266475,631.3930461815305
18,OD-5,源石尘行动,2021-03-09 16:00:00+08:00,12,56,聚酸酯,64,0.625,0.052083333333333336,19.2,糖,35,0.625,0.052083333333333336,19.2,31.152432234507238
35,NL-5,长夜临光,2021-11-01 16:00:00+08:00,12,301,酮凝集,273,0.6411960132890365,0.05343300110741971,18.71502590673575,糖,193,0.6411960132890365,0.05343300110741971,18.71502590673575,167.44432326047638
